text,true,finbert_pred,vader_pred,finbert_positive,finbert_negative,finbert_neutral
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,positive,0.9518005847930908,0.02496575191617012,0.023233696818351746
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,positive,0.946870744228363,0.029318660497665405,0.02381061390042305
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,positive,neutral,0.9508934617042542,0.014694658108055592,0.03441186249256134
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,positive,0.951758623123169,0.02025173231959343,0.027989624068140984
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,positive,neutral,0.9466812610626221,0.012192023918032646,0.04112672060728073
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,positive,0.9560876488685608,0.017059464007616043,0.026852820068597794
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,neutral,0.9523158073425293,0.02567039430141449,0.02201383002102375
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,positive,0.9558926224708557,0.021394969895482063,0.022712381556630135
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,neutral,0.9495853781700134,0.015196111984550953,0.035218458622694016
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,positive,0.9569340348243713,0.017146658152341843,0.025919288396835327
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,positive,0.956375241279602,0.020448895171284676,0.023175908252596855
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,positive,positive,0.9561133980751038,0.020466092973947525,0.02342056669294834
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,positive,0.9568637013435364,0.02020948939025402,0.02292679436504841
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,positive,0.9585705399513245,0.019382843747735023,0.022046636790037155
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,neutral,0.9534754157066345,0.02109791710972786,0.02542668767273426
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,positive,0.9567638635635376,0.017344104126095772,0.025891965255141258
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,positive,0.9245227575302124,0.01049633976072073,0.06498094648122787
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,positive,0.9418976306915283,0.02943904511630535,0.028663402423262596
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,positive,0.9560031294822693,0.018732963129878044,0.025263814255595207
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,positive,neutral,0.9444365501403809,0.016931239515542984,0.038632333278656006
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,positive,0.9561483860015869,0.01696770079433918,0.0268839281052351
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,neutral,0.9588885307312012,0.01690315268933773,0.02420835755765438
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,positive,0.9516132473945618,0.02230704575777054,0.026079637929797173
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,neutral,0.9530863761901855,0.026890650391578674,0.020022960379719734
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,positive,positive,0.7778816223144531,0.007857640273869038,0.21426072716712952
Sales have risen in other export markets .,positive,positive,neutral,0.9557327628135681,0.01812192238867283,0.02614533342421055
Sales increased due to growing market rates and increased operations .,positive,positive,positive,0.9581224322319031,0.016335003077983856,0.0255426075309515
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,positive,0.9503067135810852,0.01282531674951315,0.03686803951859474
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,positive,positive,0.9522870182991028,0.01859103888273239,0.029121868312358856
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,neutral,0.9551296830177307,0.02024231292307377,0.024627944454550743
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,positive,0.9562219381332397,0.016043128445744514,0.02773492969572544
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,positive,0.9479159712791443,0.031005725264549255,0.0210783202201128
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,negative,positive,0.28549909591674805,0.6781303882598877,0.03637059032917023
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,positive,positive,0.9487479329109192,0.01801108941435814,0.03324095904827118
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,positive,positive,0.9504469037055969,0.02080649323761463,0.028746671974658966
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,positive,positive,0.9499439001083374,0.02066589891910553,0.029390230774879456
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,neutral,0.14370791614055634,0.019271166995167732,0.8370209336280823
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,negative,neutral,0.010500713251531124,0.9728456735610962,0.01665363647043705
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,neutral,positive,0.3965243697166443,0.006570738740265369,0.5969048738479614
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,neutral,positive,0.08185917139053345,0.009341929107904434,0.90879887342453
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,positive,positive,0.6865680813789368,0.009461477398872375,0.30397042632102966
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,neutral,neutral,0.1725316196680069,0.007502431981265545,0.8199658989906311
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,positive,neutral,0.9048176407814026,0.03732171654701233,0.057860683649778366
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,neutral,positive,0.06833100318908691,0.01012613158673048,0.9215429425239563
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",neutral,positive,positive,0.9256117343902588,0.058651383966207504,0.01573694311082363
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,positive,neutral,0.9414548873901367,0.011638005264103413,0.04690708965063095
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,neutral,neutral,0.05738317221403122,0.014418992213904858,0.9281978011131287
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,positive,positive,0.9398055076599121,0.012271326966583729,0.047923095524311066
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,positive,positive,0.9504197239875793,0.029151052236557007,0.020429285243153572
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,positive,0.9518874287605286,0.012941382825374603,0.03517123684287071
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,positive,neutral,0.9498839974403381,0.0278666652739048,0.02224932238459587
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,positive,positive,0.9578179717063904,0.016105415299534798,0.026076650246977806
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,positive,positive,0.8797692656517029,0.008445256389677525,0.11178543418645859
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,positive,positive,0.945219099521637,0.03214237838983536,0.022638490423560143
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,positive,positive,0.9514080882072449,0.027968183159828186,0.02062368579208851
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,positive,0.9561136960983276,0.02018185704946518,0.02370443567633629
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,positive,positive,0.9526955485343933,0.027006980031728745,0.020297497510910034
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,positive,positive,0.9544606804847717,0.02208385430276394,0.02345546893775463
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,positive,positive,0.9548366069793701,0.023459527641534805,0.021703850477933884
An individual promotion also generated slightly higher-than-expected revenues .,positive,positive,neutral,0.9597419500350952,0.018892770633101463,0.02136532962322235
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,positive,positive,0.932395875453949,0.010092290118336678,0.05751178413629532
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,positive,positive,0.958209216594696,0.02234816737473011,0.019442662596702576
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,positive,positive,0.9540417790412903,0.011991280131042004,0.033966898918151855
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,positive,positive,0.957904040813446,0.017368806526064873,0.02472717873752117
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,positive,neutral,0.8556311726570129,0.014675276353955269,0.12969356775283813
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,positive,positive,0.9453694224357605,0.013477320782840252,0.04115322604775429
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,positive,positive,0.9532979130744934,0.01594790443778038,0.030754154548048973
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,positive,neutral,0.9535812139511108,0.024749761447310448,0.021669095382094383
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,positive,positive,0.9527251720428467,0.025486133992671967,0.02178867720067501
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,positive,positive,0.9517654180526733,0.024690115824341774,0.023544514551758766
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,positive,neutral,0.9582593441009521,0.020119881257414818,0.0216207318007946
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,positive,neutral,0.9500165581703186,0.023328382521867752,0.02665509283542633
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,positive,positive,0.9486860036849976,0.026345565915107727,0.02496841922402382
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,positive,positive,0.9563605189323425,0.018191739916801453,0.025447726249694824
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,positive,neutral,0.9533369541168213,0.027120638638734818,0.019542425870895386
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,positive,positive,0.9523863792419434,0.023493925109505653,0.024119727313518524
Operating profit margin increased from 11.2 % to 11.7 % .,positive,positive,positive,0.9582114219665527,0.017745019868016243,0.024043617770075798
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,positive,positive,0.9514827728271484,0.026798518374562263,0.021718772128224373
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,positive,positive,0.9521843791007996,0.026008546352386475,0.021807044744491577
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,positive,positive,0.9562891721725464,0.023152563720941544,0.020558243617415428
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,positive,positive,0.9552369117736816,0.023375224322080612,0.021387886255979538
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,positive,neutral,0.953300952911377,0.02005479298532009,0.026644250378012657
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,positive,positive,0.9358187317848206,0.015679726377129555,0.04850150644779205
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,positive,neutral,0.9588744044303894,0.01684832014143467,0.024277305230498314
Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,positive,neutral,0.9377506375312805,0.009790758602321148,0.05245857313275337
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,positive,neutral,0.9480218291282654,0.014218591153621674,0.03775956109166145
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,positive,positive,0.9546905159950256,0.023005858063697815,0.02230358123779297
The Department Store Division reported an increase in sales of 4 per cent .,positive,positive,positive,0.949867308139801,0.02047146111726761,0.029661133885383606
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,positive,positive,0.9456790089607239,0.02548883482813835,0.028832105919718742
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,positive,positive,0.9590121507644653,0.017168832942843437,0.023819010704755783
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,positive,positive,0.9498023986816406,0.023232528939843178,0.0269650686532259
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive,positive,neutral,0.9436084032058716,0.010798586532473564,0.04559297859668732
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,positive,positive,0.9595321416854858,0.0197990071028471,0.020668769255280495
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive,positive,neutral,0.6898259520530701,0.0068270303308963776,0.30334699153900146
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,positive,positive,0.82874596118927,0.006411244627088308,0.16484284400939941
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,positive,positive,0.9465400576591492,0.028092406690120697,0.025367578491568565
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,positive,positive,0.9478166103363037,0.01803785376250744,0.034145575016736984
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive,positive,positive,0.9437436461448669,0.014606980606913567,0.04164944961667061
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,positive,positive,0.9499520659446716,0.028976798057556152,0.021071113646030426
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,positive,0.9539974927902222,0.024945292621850967,0.021057121455669403
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,positive,neutral,0.9478088617324829,0.027737924829125404,0.024453265592455864
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,positive,positive,0.9540956020355225,0.02008938603103161,0.02581501565873623
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,positive,positive,neutral,0.9348456859588623,0.016855407506227493,0.04829880967736244
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,positive,positive,neutral,0.9510299563407898,0.027270128950476646,0.02169986255466938
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive,positive,positive,0.9220629930496216,0.010977381840348244,0.06695964932441711
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,positive,neutral,0.7792233824729919,0.006564262788742781,0.2142123430967331
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive,positive,neutral,0.6922131180763245,0.01565833017230034,0.2921285927295685
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,positive,positive,0.9491134285926819,0.015327769331634045,0.03555880859494209
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,positive,positive,0.9574837684631348,0.017201585695147514,0.025314586237072945
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,positive,neutral,0.6822664737701416,0.007438350934535265,0.3102952241897583
"Again , the most significant sales increase of 18.6 % was in Russia .",positive,positive,positive,0.9068472981452942,0.015398463234305382,0.07775428891181946
Alma Media expects its net sales to increase as forecast previously .,positive,positive,positive,0.9564671516418457,0.015755420550704002,0.02777753956615925
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,positive,positive,0.9523641467094421,0.024317577481269836,0.02331833355128765
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,positive,neutral,0.9569885730743408,0.020999057218432426,0.022012362256646156
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,positive,positive,0.9566065073013306,0.014466610737144947,0.02892681583762169
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,positive,positive,0.9577293992042542,0.021877346560359,0.020393364131450653
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,positive,positive,0.9577295780181885,0.022475318983197212,0.01979503035545349
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,positive,positive,0.9576215744018555,0.02282889001071453,0.01954958215355873
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,positive,positive,0.9573447704315186,0.022506313398480415,0.020148850977420807
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,positive,positive,0.959672749042511,0.02135561965405941,0.018971651792526245
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,positive,0.9584378004074097,0.02175751142203808,0.01980465091764927
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,positive,positive,0.9584648609161377,0.021823598071932793,0.019711552187800407
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,positive,positive,0.9580706357955933,0.022179219871759415,0.01975017599761486
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,positive,positive,0.9581965208053589,0.02226688712835312,0.01953664980828762
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,positive,positive,0.9585912227630615,0.021879496052861214,0.01952921226620674
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,positive,positive,0.958268404006958,0.022098692134022713,0.019632866606116295
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,positive,positive,0.9585779905319214,0.021838385611772537,0.019583655521273613
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,positive,positive,0.957273542881012,0.0227704718708992,0.01995600387454033
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,positive,positive,0.9579417705535889,0.022608565166592598,0.019449623301625252
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,positive,positive,0.9572929739952087,0.022668717429041862,0.020038316026329994
Cargo volume grew by 7 % .,positive,positive,neutral,0.9591825008392334,0.0157327800989151,0.02508474327623844
Cargo volume increased by approximately 5 % .,positive,positive,positive,0.9573051929473877,0.01630285568535328,0.02639189176261425
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,positive,positive,0.9540627002716064,0.026512257754802704,0.019425058737397194
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,positive,neutral,0.9580204486846924,0.022671464830636978,0.01930801384150982
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,positive,positive,0.954177737236023,0.024287471547722816,0.021534834057092667
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,positive,positive,0.958636462688446,0.02240706793963909,0.018956545740365982
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive,positive,positive,0.9543622136116028,0.023744821548461914,0.021892938762903214
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,positive,positive,positive,0.9543044567108154,0.023592155426740646,0.022103331983089447
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,positive,neutral,0.9523400068283081,0.024429811164736748,0.02323022112250328
